go home ; idź do domu
workforce ; siła robocza
case ; przypadek
case ; przypadek
explore ; badać
explore ; badać
cat ; kot
the cheapest ; najtańszy
tent ; namiot
bit ; kawałek
to beat ; bić
heart ; serce
bra ; biustonosz
Human, All Too Human ; Człowiek, zbyt ludzki
robust ; krzepki
bog ; bagno
win ; wygrać
win ; wygrać
win ; zwyciężyć 
moneystalk ; moneystalk
sprouting ; kiełkowanie
August ; sierpień
October ; październik
Vowel ; Samogłoska
predate ; antydatować
nuns ; zakonnice
grace ; wdzięk
lands ; ląduje
restless ; niespokojny
portrait ; portret
currency ; waluty
as end ; jako koniec
 ; szczerzy
three ; trzy
borrow ; pożyczyć
pre-render ; wstępne renderowanie
quiet ; cichy
magnifier ; lupa
exclamation mark ; wykrzyknik
successor ; następca
guess ; zgadnij
exactly ; dokładnie
law ; prawo
till ; do
birth ; narodziny
gross ; obrzydliwy
Ambidextrous ; Oburęczny
Phantom Thread ; Phantom Thread
brony ; brony
fashion ; moda
cat ; 
tranche ; 
three ; 
cat ; 
cat ; kot
cunt ; cipa
issue ; kwestia
headers ; nagłówki
profession ; zawód
especially ; zwłaszcza
education ; wykształcenie
rate ; oceniać
rate ; oceniać
 ; 
bastard ; drań
